Area Type,Area Name,Period,Standard Occupational Classification (SOC),Occupational Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total Job Openings,Median Hourly Wage ,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Regional Planning Unit,Bay-Peninsula,2018-2028,13-2072,Loan Officers,4240,4560,320,0.1,1060,2630,4000,31.47,65455.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,Bay-Peninsula,2018-2028,13-2081,"Tax Examiners and Collectors, and Revenue Agents",530,490,-50,-0.1,200,220,380,49.34,102640.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,Bay-Peninsula,2018-2028,13-2082,Tax Preparers,2030,2230,200,0.1,1050,1370,2620,34.89,72569.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Bay-Peninsula,2018-2028,13-2099,"Financial Specialists, All Other",3770,4260,490,0.1,1120,2350,3950,0.00,0.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,Bay-Peninsula,2018-2028,15-1111,Computer and Information Research Scientists,2790,3490,690,0.2,450,1960,3110,0.00,0.00,Master's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,15-1121,Computer Systems Analysts,23210,26030,2810,0.1,4680,13100,20590,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,15-1122,Information Security Analysts,2450,3370,930,0.4,420,1650,3000,0.00,0.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Bay-Peninsula,2018-2028,15-1131,Computer Programmers,7660,7300,-360,-0.0,1200,4050,4890,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,15-1132,"Software Developers, Applications",84360,110090,25740,0.3,13500,54970,94200,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,15-1133,"Software Developers, Systems Software",41210,46070,4870,0.1,6060,24670,35600,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,15-1134,Web Developers,7550,9110,1560,0.2,1420,4910,7890,0.00,0.00,Associate's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,15-1141,Database Administrators,3470,4070,600,0.2,730,1940,3270,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,15-1142,Network and Computer Systems Administrators,9910,10830,920,0.1,1740,5500,8160,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,15-1143,Computer Network Architects,6210,6930,720,0.1,870,3700,5290,0.00,0.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Bay-Peninsula,2018-2028,15-1151,Computer User Support Specialists,22380,25950,3570,0.2,4440,15370,23380,0.00,0.00,"Some college, no degree",None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,15-1152,Computer Network Support Specialists,4000,4530,530,0.1,780,2710,4030,0.00,0.00,Associate's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,15-1199,"Computer Occupations, All Other",26790,31280,4490,0.2,4660,16420,25560,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,15-2031,Operations Research Analysts,2840,3770,920,0.3,770,1380,3070,57.14,118844.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,15-2041,Statisticians,1650,2330,680,0.4,360,1160,2200,61.39,127684.00,Master's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,17-1011,"Architects, Except Landscape and Naval",4210,4400,190,0.0,1030,2280,3490,49.73,103434.00,Bachelor's degree,None,Internship/residency
Regional Planning Unit,Bay-Peninsula,2018-2028,17-1012,Landscape Architects,510,500,-10,-0.0,120,270,380,44.91,93429.00,Bachelor's degree,None,Internship/residency
Regional Planning Unit,Bay-Peninsula,2018-2028,17-1021,Cartographers and Photogrammetrists,140,180,30,0.2,40,80,150,54.73,113840.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,17-1022,Surveyors,370,380,0,0.0,100,180,280,48.73,101366.00,Bachelor's degree,None,Internship/residency
Regional Planning Unit,Bay-Peninsula,2018-2028,17-2011,Aerospace Engineers,2500,2730,230,0.1,550,1130,1920,68.17,141784.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,17-2031,Biomedical Engineers,850,930,80,0.1,190,450,710,59.99,124788.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,17-2041,Chemical Engineers,530,610,80,0.2,120,240,440,51.83,107800.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,17-2051,Civil Engineers,6630,6880,260,0.0,1380,3880,5510,53.28,110821.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,17-2061,Computer Hardware Engineers,11030,11870,840,0.1,2210,6040,9090,80.70,167862.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,17-2071,Electrical Engineers,7280,7830,550,0.1,1530,3460,5540,70.61,146869.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,17-2072,"Electronics Engineers, Except Computer",7290,7670,380,0.1,1510,3430,5330,70.24,146102.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,17-2081,Environmental Engineers,1240,1260,20,0.0,340,610,970,59.22,123179.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",220,230,0,0.0,50,110,150,59.27,123281.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,17-2112,Industrial Engineers,5860,6280,420,0.1,1230,2920,4560,58.42,121520.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,17-2131,Materials Engineers,610,620,10,0.0,130,260,400,54.96,114313.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,17-2141,Mechanical Engineers,5990,6280,280,0.0,1150,3010,4430,59.34,123428.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,17-2199,"Engineers, All Other",5680,6000,320,0.1,1200,2830,4350,63.94,132989.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,17-3011,Architectural and Civil Drafters,2020,1980,-30,-0.0,670,1400,2030,31.04,64562.00,Associate's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,17-3012,Electrical and Electronics Drafters,920,920,0,0.0,300,640,940,42.44,88280.00,Associate's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,17-3013,Mechanical Drafters,620,570,-50,-0.1,200,410,560,47.67,99151.00,Associate's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,17-3019,"Drafters, All Other",180,170,-10,-0.0,60,120,180,32.23,67037.00,Associate's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,17-3021,Aerospace Engineering and Operations Technicians,610,640,30,0.0,210,400,640,38.30,79659.00,Associate's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,17-3022,Civil Engineering Technicians,530,550,20,0.0,180,350,550,38.13,79302.00,Associate's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,17-3023,Electrical and Electronics Engineering Technicians,6250,6340,90,0.0,2080,4050,6230,35.79,74457.00,Associate's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,17-3024,Electro-Mechanical Technicians,650,650,0,0.0,220,420,640,28.75,59797.00,Associate's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,17-3025,Environmental Engineering Technicians,330,350,20,0.0,110,220,350,29.83,62045.00,Associate's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,17-3026,Industrial Engineering Technicians,520,510,-10,-0.0,170,330,490,31.33,65169.00,Associate's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,17-3027,Mechanical Engineering Technicians,620,660,40,0.1,210,410,660,33.86,70439.00,Associate's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,17-3029,"Engineering Technicians, Except Drafters, All Other",1590,1750,160,0.1,550,1070,1780,0.00,0.00,Associate's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,17-3031,Surveying and Mapping Technicians,740,750,10,0.0,210,660,880,34.43,71622.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Bay-Peninsula,2018-2028,19-1021,Biochemists and Biophysicists,1900,2280,380,0.2,320,1590,2290,60.81,126482.00,Doctoral or professional degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,19-1022,Microbiologists,1020,1170,150,0.1,170,840,1150,73.20,152256.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,19-1023,Zoologists and Wildlife Biologists,390,450,70,0.2,70,320,450,43.26,89978.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,19-1029,"Biological Scientists, All Other",2960,3350,390,0.1,490,2400,3280,54.87,114128.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,19-1031,Conservation Scientists,450,520,80,0.2,90,410,580,44.24,92011.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,19-1041,Epidemiologists,180,200,20,0.1,30,140,180,52.32,108826.00,Master's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,19-1042,"Medical Scientists, Except Epidemiologists",8200,9590,1390,0.2,1240,6680,9310,59.60,123955.00,Doctoral or professional degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,19-1099,"Life Scientists, All Other",580,640,70,0.1,90,460,610,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,19-2011,Astronomers,90,100,10,0.1,20,60,90,83.79,174271.00,Doctoral or professional degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,19-2012,Physicists,1070,1380,320,0.3,220,760,1300,54.49,113343.00,Doctoral or professional degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,19-2031,Chemists,2420,2620,210,0.1,410,1860,2470,47.29,98371.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,19-2032,Materials Scientists,300,340,30,0.1,50,240,320,61.92,128787.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,19-2041,"Environmental Scientists and Specialists, Including Health",1300,1390,90,0.1,250,1210,1550,57.96,120563.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,19-2042,"Geoscientists, Except Hydrologists and Geographers",310,320,10,0.0,60,280,350,49.78,103534.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,19-2099,"Physical Scientists, All Other",650,690,50,0.1,90,490,620,70.97,147617.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,19-3011,Economists,410,470,50,0.1,60,260,370,60.04,124897.00,Master's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,19-3022,Survey Researchers,130,120,-10,-0.1,40,100,130,29.11,60540.00,Master's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,19-3031,"Clinical, Counseling, and School Psychologists",2180,2460,290,0.1,520,1110,1910,45.25,94120.00,Doctoral or professional degree,None,Internship/residency
Regional Planning Unit,Bay-Peninsula,2018-2028,19-3039,"Psychologists, All Other",330,340,10,0.0,70,160,240,60.04,124896.00,Master's degree,None,Internship/residency
Regional Planning Unit,Bay-Peninsula,2018-2028,19-3041,Sociologists,140,170,40,0.3,50,130,220,44.98,93566.00,Master's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,19-3051,Urban and Regional Planners,820,870,50,0.1,140,650,830,55.76,115979.00,Master's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,19-3091,Anthropologists and Archeologists,160,190,30,0.2,50,140,220,42.69,88794.00,Master's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,19-3093,Historians,50,60,10,0.1,20,40,70,48.09,100025.00,Master's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,19-3094,Political Scientists,60,60,0,0.0,20,50,70,39.73,82644.00,Master's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,19-3099,"Social Scientists and Related Workers, All Other",810,960,160,0.2,280,740,1170,47.44,98678.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,19-4011,Agricultural and Food Science Technicians,750,880,130,0.2,170,820,1120,0.00,0.00,Associate's degree,None,Moderate-term on-the-job training
Regional Planning Unit,Bay-Peninsula,2018-2028,19-4021,Biological Technicians,2360,2690,330,0.1,370,2270,2970,30.63,63714.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,19-4031,Chemical Technicians,1030,1130,100,0.1,210,870,1170,24.32,50597.00,Associate's degree,None,Moderate-term on-the-job training
Regional Planning Unit,Bay-Peninsula,2018-2028,19-4061,Social Science Research Assistants,760,900,140,0.2,230,760,1130,25.75,53564.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,19-4091,"Environmental Science and Protection Technicians, Including Health",710,770,60,0.1,200,670,930,0.00,0.00,Associate's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,19-4092,Forensic Science Technicians,170,190,20,0.1,50,170,230,47.86,99544.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,Bay-Peninsula,2018-2028,19-4093,Forest and Conservation Technicians,20,30,0,0.0,10,20,30,0.00,0.00,Associate's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,19-4099,"Life, Physical, and Social Science Technicians, All Other",970,1110,140,0.1,280,950,1370,30.27,62976.00,Associate's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,21-1012,"Educational, Guidance, School, and Vocational Counselors",3950,4640,690,0.2,1390,3010,5090,38.46,80008.00,Master's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,21-1013,Marriage and Family Therapists,2470,2910,430,0.2,870,1880,3190,27.98,58195.00,Master's degree,None,Internship/residency
Regional Planning Unit,Bay-Peninsula,2018-2028,21-1015,Rehabilitation Counselors,1160,1280,120,0.1,390,850,1370,22.82,47471.00,Master's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",2840,3420,580,0.2,1010,2190,3780,29.78,61940.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,21-1019,"Counselors, All Other",670,690,20,0.0,220,480,710,36.29,75484.00,Master's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,21-1021,"Child, Family, and School Social Workers",3340,3510,170,0.1,1010,2330,3510,28.05,58349.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,21-1022,Healthcare Social Workers,2530,2880,350,0.1,800,1840,2980,50.14,104289.00,Master's degree,None,Internship/residency
Regional Planning Unit,Bay-Peninsula,2018-2028,21-1023,Mental Health and Substance Abuse Social Workers,1260,1440,180,0.1,400,920,1500,39.61,82390.00,Master's degree,None,Internship/residency
Regional Planning Unit,Bay-Peninsula,2018-2028,21-1029,"Social Workers, All Other",1490,1520,20,0.0,440,1020,1490,47.01,97793.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,21-1091,Health Educators,1180,1240,60,0.1,450,910,1430,33.13,68899.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,21-1092,Probation Officers and Correctional Treatment Specialists,820,810,-10,-0.0,180,510,680,62.26,129503.00,Bachelor's degree,None,Short-term on-the-job training
Regional Planning Unit,Bay-Peninsula,2018-2028,21-1093,Social and Human Service Assistants,5270,5810,540,0.1,2220,4370,7130,24.69,51355.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Bay-Peninsula,2018-2028,21-1094,Community Health Workers,1350,1440,90,0.1,520,1060,1670,31.21,64916.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Bay-Peninsula,2018-2028,21-1099,"Community and Social Service Specialists, All Other",1890,2000,100,0.1,720,1470,2300,27.50,57195.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,21-2011,Clergy,1210,1220,10,0.0,530,780,1330,35.46,73753.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,Bay-Peninsula,2018-2028,21-2021,"Directors, Religious Activities and Education",740,740,10,0.0,370,550,920,28.15,58553.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Bay-Peninsula,2018-2028,21-2099,"Religious Workers, All Other",400,400,0,-0.0,230,280,510,35.05,72904.00,Bachelor's degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,23-1011,Lawyers,20840,23060,2220,0.1,4710,5810,12740,97.35,202488.00,Doctoral or professional degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,23-1012,Judicial Law Clerks,330,310,-10,-0.0,50,100,130,35.70,74262.00,Doctoral or professional degree,None,None
Regional Planning Unit,Bay-Peninsula,2018-2028,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",290,280,-20,-0.1,60,80,120,65.50,136256.00,Doctoral or professional degree,5 years or more,Short-term on-the-job training
Regional Planning Unit,Bay-Peninsula,2018-2028,23-1022,"Arbitrators, Mediators, and Conciliators",50,50,0,0.1,10,10,30,57.89,120413.00,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
Regional Planning Unit,Bay-Peninsula,2018-2028,23-1023,"Judges, Magistrate Judges, and Magistrates",210,190,-20,-0.1,40,50,80,103.71,215716.00,Doctoral or professional degree,5 years or more,Short-term on-the-job training
